ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
79,PEQUEÑO,109.36,9,0,0,0,0.4785470697023485,0.31778653642532556,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
75,PEQUEÑO,331.68999999999994,5,0,0,0,0.36594475728763026,0.27072353509741803,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,True,False
133,PEQUEÑO,109.36,3,0,0,0,0.375496596876965,0.4235103291852269,0.3459754209670617,0,False,False,False,True,True,False,False,True,False,False,False
155,PEQUEÑO,109.36,6,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
84,PEQUEÑO,109.36,12,0,0,0,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
128,PEQUEÑO,362.6,7,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
1,PEQUEÑO,376.27,2,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
344,PEQUEÑO,134.94857142857143,7,0,0,1,0.36594475728763026,0.28336811953080876,0.3975930893786635,0,True,False,False,False,True,False,False,True,True,False,False
26,PEQUEÑO,109.36,5,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
22,PEQUEÑO,539.86,2,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
17,PEQUEÑO,54.68,4,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,False,True,False,False,False,False,False
49,PEQUEÑO,257.598,5,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,True,False,False
38,PEQUEÑO,330.4433333333333,6,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
12,PEQUEÑO,109.36,4,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
47,PEQUEÑO,310.97666666666663,3,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
54,PEQUEÑO,440.4,4,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
391,PEQUEÑO,211.7875,4,0,0,1,0.36594475728763026,0.30822109652834595,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,True,False
205,PEQUEÑO,109.36,5,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
159,PEQUEÑO,575.0,5,0,0,0,0.30491461627486416,0.4235103291852269,0.3975930893786635,1,True,False,False,False,False,False,True,False,False,False,False
75,PEQUEÑO,428.6571428571429,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
61,PEQUEÑO,518.7,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
33,PEQUEÑO,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
324,PEQUEÑO,561.61,5,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
73,PEQUEÑO,250.0575,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
92,PEQUEÑO,851.76,4,0,0,0,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,False,False,False,False,True,False,False
218,PEQUEÑO,297.0,4,0,0,0,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
119,PEQUEÑO,346.765,4,0,0,1,0.4785470697023485,0.4235103291852269,0.39731355104804955,0,False,True,False,False,True,False,True,False,False,False,False
119,PEQUEÑO,355.43,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
98,PEQUEÑO,485.4625,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,False,True,False,False,False,False
2,PEQUEÑO,109.36,5,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
4,PEQUEÑO,447.41333333333336,3,0,0,0,0.4785470697023485,0.4235103291852269,0.39731355104804955,0,False,True,False,False,True,False,False,True,False,False,False
51,PEQUEÑO,109.36,7,0,0,0,0.375496596876965,0.30822109652834595,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,True,False
11,PEQUEÑO,259.2766666666667,3,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
90,PEQUEÑO,109.36,7,0,0,0,0.4785470697023485,0.44055645447812786,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
65,PEQUEÑO,109.36,5,0,0,0,0.36594475728763026,0.44055645447812786,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
0,PEQUEÑO,305.64,3,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
229,PEQUEÑO,109.36,4,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,False,False
40,PEQUEÑO,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
-1,PEQUEÑO,439.09,1,0,0,1,0.4785470697023485,0.4235103291852269,0.39731355104804955,0,False,True,False,False,True,False,False,False,False,False,False
1,PEQUEÑO,278.0,2,0,0,0,0.3052103391110519,0.27072353509741803,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,True,False
73,PEQUEÑO,335.4725,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,True,False,False,False,False
25,PEQUEÑO,147.64,8,0,0,0,0.375496596876965,0.30822109652834595,0.3975930893786635,0,False,False,False,True,False,False,True,False,False,True,False
59,PEQUEÑO,109.36,14,0,0,0,0.375496596876965,0.24714373154448915,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,True,False
49,PEQUEÑO,290.0,3,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,False,False,True,True,False,True,False,False,True,False
46,PEQUEÑO,294.8,7,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
128,PEQUEÑO,368.02,4,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
112,PEQUEÑO,109.36,5,0,0,0,0.4785470697023485,0.30822109652834595,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
78,PEQUEÑO,460.45,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
150,PEQUEÑO,264.74,2,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
209,PEQUEÑO,311.85,4,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
11,PEQUEÑO,109.36,6,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
16,PEQUEÑO,365.855,4,0,0,0,0.4785470697023485,0.4426721252232782,0.3459754209670617,0,False,True,False,False,True,False,False,False,False,True,False
166,PEQUEÑO,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,True,False,False,False,False
18,PEQUEÑO,384.29,2,0,0,0,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,True,False,True,False,False
143,PEQUEÑO,338.8,3,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,True
0,PEQUEÑO,255.6,1,0,0,0,0.4785470697023485,0.4426721252232782,0.3459754209670617,0,False,True,False,False,True,False,False,False,True,False,False
77,PEQUEÑO,109.36,1,0,0,1,0.38238539767685914,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,False,True,True,False,False
37,PEQUEÑO,386.29,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
35,PEQUEÑO,368.2766666666666,3,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,False,False,False,False,False
39,PEQUEÑO,250.854,5,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
2,PEQUEÑO,380.29,1,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,False,False
317,PEQUEÑO,328.23999999999995,5,0,0,0,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,False,False
33,PEQUEÑO,215.04,2,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,1,False,False,False,False,False,True,True,False,False,False,False
33,PEQUEÑO,215.04,2,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,1,False,False,False,False,False,True,True,False,False,True,False
90,PEQUEÑO,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,True,False,False,False,False
90,PEQUEÑO,109.36,4,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,True,False,False,False,False
51,PEQUEÑO,739.585,2,0,0,0,0.4785470697023485,0.4235103291852269,0.39731355104804955,0,False,True,False,False,False,False,False,False,False,False,False
19,PEQUEÑO,54.68,7,0,0,0,0.375496596876965,0.30822109652834595,0.3975930893786635,0,False,False,False,True,False,True,False,False,False,True,False
68,PEQUEÑO,109.36,3,0,0,0,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,True,False,False,False,False,False,False
-1,PEQUEÑO,383.33,1,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
141,PEQUEÑO,237.522,5,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,False,True,False,False,False,False
51,PEQUEÑO,365.9,1,0,0,0,0.4785470697023485,0.4426721252232782,0.39731355104804955,0,False,True,False,False,True,False,False,False,False,False,False
101,PEQUEÑO,219.492,5,0,0,0,0.36594475728763026,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,True,False
1,PEQUEÑO,300.0,2,0,0,0,0.4785470697023485,0.27072353509741803,0.39731355104804955,0,False,False,False,False,True,False,False,True,False,True,False
23,PEQUEÑO,265.06142857142856,7,0,0,1,0.4785470697023485,0.30822109652834595,0.3975930893786635,0,False,True,False,False,False,True,False,False,False,True,False
9,PEQUEÑO,361.18,7,0,0,0,0.375496596876965,0.4235103291852269,0.3459754209670617,0,True,False,False,False,True,False,False,False,False,False,False
172,PEQUEÑO,427.5700000000001,4,0,0,1,0.36594475728763026,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,False,False
89,PEQUEÑO,305.0,1,0,0,1,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,True,False,True,False,False
182,PEQUEÑO,365.78,7,0,0,1,0.36594475728763026,0.30822109652834595,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,True,False
230,PEQUEÑO,109.36,7,0,0,1,0.375496596876965,0.4235103291852269,0.3459754209670617,0,False,False,False,True,True,False,False,True,False,False,False
16,PEQUEÑO,109.36,4,0,0,0,0.4785470697023485,0.4426721252232782,0.3975930893786635,0,False,True,False,False,True,False,True,False,True,False,False
282,PEQUEÑO,54.68000000000001,5,0,0,1,0.375496596876965,0.4235103291852269,0.3975930893786635,0,False,False,False,True,False,True,False,True,False,False,False
69,PEQUEÑO,348.66,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
-1,PEQUEÑO,54.68,2,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,False,False,False,False,False
85,PEQUEÑO,373.728,5,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,False,False
198,PEQUEÑO,431.1,2,0,0,1,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,False,False,True,False
14,PEQUEÑO,54.68,4,0,0,1,0.38238539767685914,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,False,True,False,False,False
0,PEQUEÑO,54.68,3,0,0,0,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,False,True,False,False,False,False,False
144,PEQUEÑO,344.19,7,0,0,1,0.4785470697023485,0.4235103291852269,0.3975930893786635,0,False,True,False,False,True,False,True,False,False,False,False
1,PEQUEÑO,109.36,1,0,0,0,0.4785470697023485,0.27072353509741803,0.3975930893786635,0,False,True,False,False,True,False,False,True,False,True,False
