ANTELACION_DIAS,HOTEL_SIZE,ADR,NOCHES,NENES,BEBES,STATUS_BOOL,SEGMENTO_COD,PAIS_AGRUPADO_COD,HABITACION_LIMPIA_COD,GRUPO_TIPO_COD,FUENTE_NEGOCIO_DIRECT SALES,FUENTE_NEGOCIO_E-COMMERCE,FUENTE_NEGOCIO_OTHERS,FUENTE_NEGOCIO_T.O. / T.A.,PAX_TIPO_PAREJAS,PAX_TIPO_SINGLE,TEMPORADA_BAJA,TEMPORADA_MEDIA,DISTANCIA_LARGO,DISTANCIA_MEDIO,DISTANCIA_NO INFO
322,GRANDE,421.27,10,0,0,1,0.3659447572876302,0.3082210965283459,0.359469705872788,0,True,False,False,False,True,False,False,False,False,True,False
84,GRANDE,366.17,4,0,0,1,0.4785470697023485,0.4235103291852269,0.3459754209670617,0,True,False,False,False,True,False,True,False,False,False,False
127,GRANDE,388.054947368421,5,0,0,1,0.3659447572876302,0.3177865364253255,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
127,GRANDE,463.64,4,0,0,1,0.3659447572876302,0.4235103291852269,0.3459754209670617,0,True,False,False,False,True,False,True,False,False,False,False
32,GRANDE,341.07,1,0,0,1,0.3659447572876302,0.2491549324074749,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,False,False
14,GRANDE,230.31,5,0,0,1,0.3659447572876302,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,True,False,False,False
188,GRANDE,326.29,8,0,0,1,0.3659447572876302,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,True,False
74,GRANDE,218.15,7,1,0,1,0.3659447572876302,0.4488558862852849,0.3975930893786635,0,True,False,False,False,False,False,True,False,False,True,False
177,GRANDE,289.74,4,0,0,1,0.3823853976768591,0.4235103291852269,0.3975930893786635,0,True,False,False,False,True,False,False,False,False,False,False
38,GRANDE,277.14,4,0,0,1,0.3659447572876302,0.4235103291852269,0.3464035816116707,0,True,False,False,False,True,False,False,False,False,False,False
246,GRANDE,320.77000000000004,3,0,0,1,0.3659447572876302,0.4426721252232782,0.3975930893786635,0,True,False,False,False,True,False,True,False,False,True,False
180,GRANDE,175.33069306930693,4,0,0,0,0.375496596876965,0.4405564544781278,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,True,False
91,GRANDE,147.24752475247524,3,0,0,0,0.375496596876965,0.4405564544781278,0.3975930893786635,0,False,False,False,True,True,False,False,True,False,True,False
239,GRANDE,114.0,3,0,0,0,0.2140428994091968,0.4235103291852269,0.3975930893786635,1,False,False,False,True,True,False,False,False,False,False,False
